,"Population at 31 Dec 2019 ('000)","Change over previous year ('000)","Change over previous year (%)"
"New South Wales","8,129.0","90.9","1.1"
"Victoria","6,651.1","122.2","1.9"
"Queensland","5,130.0","79.3","1.6"
"South Australia","1,759.2","15.7","0.9"
"Western Australia","2,639.1","33.2","1.3"
"Tasmania","537.0","5.2","1.0"
"Northern Territory","244.8","-0.9","-0.4"
"Australian Capital Territory","427.4","4.2","1.0"
"Australia (a)","25,522.2","349.8","1.4"

" a. Includes Other Territories comprising Jervis Bay Territory, Christmas Island, the Cocos (Keeling) Islands and Norfolk Island."

" Source: Australian Bureau of Statistics, National, state and territory population December 2019"
